강릉, ,20 이상, , ,13.9,-10.0,12.7, , ,18,남서,,1011.7
강진군, ,14.4, , ,10.1,-5.0,8.6, , ,34,서북서,,1015.8
강화, ,20 이상, , ,6.3,-1.6,2.2, , ,57,서남서,,1017.7
거제, ,20 이상, , ,10.0,-5.9,9.3, , ,32,남남서,,1015.7
거창, ,20 이상, , ,11.7,-10.5,11.2, , ,20,북서,,1014.0
경주시, ,20 이상, , ,12.6,-11.1,11.1, , ,18,북서,,1014.1
고산, ,20 이상, , ,8.4,-1.1,3.6, , ,51,북서,,1019.2
고창, ,17.6, , ,7.8,-6.3,4.6, , ,36,서,,1018.7
고창군, ,20 이상, , ,7.8,-6.0,5.0, , ,37,서,,1018.4
고흥, ,20 이상, , ,10.4,-6.9,8.1, , ,29,북서,,1016.0
광양시, ,10.6, , ,11.7,-9.3,10.0, , ,22,서북서,,1015.0
광주, ,20 이상, , ,9.1,-6.3,8.2, , ,33,북북서,,1017.6
구미, ,20 이상, , ,11.2,-12.3,9.9, , ,18,서북서,,1015.4
군산, , , , ,6.4,-3.8,2.9, , ,48,서북서,,1019.3
금산, ,20 이상, , ,8.5,-7.6,6.8, , ,31,서남서,,1016.5
김해시, ,20 이상, , ,12.0,-10.3,10.9, , ,20,서북서,,1014.4
남원, ,20 이상, , ,8.3,-6.6,6.5, , ,34,서북서,,1017.2
남해, ,20 이상, , ,10.8,-6.1,10.3, , ,30,동북동,,1015.0
대관령, ,20 이상, , ,4.7,-12.7,-0.2, , ,27,서,,1012.8
대구, ,20 이상, , ,11.3,-10.2,9.2, , ,21,서북서,,1014.7
대전, ,20 이상, , ,10.8,-8.4,10.2, , ,25,서북서,,1016.8
동두천, ,12.0, , ,8.8,-5.1,5.9, , ,37,남서,,1016.1
동해, ,20 이상, , ,9.6,-3.7,8.1, , ,39,남남동,,1012.6
목포,맑음,20 이상,0,0,6.4,-3.2,2.8, , ,50,북서,,1019.0
문경, ,20 이상, , ,9.1,-8.0,6.8, , ,29,서,,1014.5
밀양, ,20 이상, , ,12.8,-14.1,12.8, , ,14,서북서,,1013.5
백령도, ,20 이상, , ,8.0,-6.5,4.4, , ,35,서,,1015.0
보령, ,19.9, , ,7.5,-3.1,6.2, , ,47,남서,,1017.9
보성군, ,20 이상, , ,10.6,-5.4,7.5, , ,32,서북서,,1015.9
보은, ,20 이상, , ,8.5,-7.6,6.8, , ,31,서북서,,1015.9
봉화, ,19.9, , ,10.4,-11.0,9.1, , ,21,서북서,,1012.4
부산, ,20 이상, , ,11.1,-6.3,9.0, , ,29,남서,,1013.5
부안, ,20 이상, , ,7.9,-3.3,5.7, , ,45,서,,1018.7
부여, ,20 이상, , ,9.6,-6.7,8.5, , ,31,북북서,,1017.3
북창원, ,20 이상, , ,12.4,-9.3,12.0, , ,21,남서,,1014.0
북춘천, , , , ,9.3,-9.7,6.6, , ,25,남남서,,1014.8
산청, ,20 이상, , ,11.0,-9.9,9.1, , ,22,북서,,1015.4
상주, ,20 이상, , ,9.9,-8.7,7.7, , ,26,서,,1014.8
서귀포, ,20 이상, , ,12.1,-0.7,11.4, , ,41,서남서,,1016.6
서산, ,14.0, , ,8.2,-2.7,5.5, , ,46,남서,,1017.8
서울, ,20 이상, , ,8.4,-4.4,5.8, , ,40,남서,,1016.4
성산, ,20 이상, , ,8.2,-2.7,4.8, , ,46,서,,1018.0
세종, ,20 이상, , ,9.3,-10.2,7.7, , ,24,북서,,1016.5
수원, ,19.9, , ,7.9,-5.2,5.2, , ,39,서,,1017.6
순창군, ,9.8, , ,7.8,-9.1,4.7, , ,29,북서,,1017.3
순천, ,20 이상, , ,9.5,-7.6,6.9, , ,29,북서,,1014.6
안동, ,20 이상, , ,10.4,-12.9,7.7, , ,18,서,,1015.0
양산시, ,14.5, , ,13.0,-8.2,12.2, , ,22,서북서,,1013.6
양평, ,19.5, , ,9.6,-9.0,7.9, , ,26,서북서,,1016.7
여수, ,20 이상, , ,11.1,-7.7,8.8, , ,26,서,,1015.1
영광군, ,17.8, , ,7.7,-7.5,5.9, , ,33,북,,1019.3
영덕, ,19.5, , ,12.1,-9.6,10.5, , ,21,서,,1013.3
영월, ,19.9, , ,8.9,-10.6,6.9, , ,24,서남서,,1014.7
영주, ,20 이상, , ,8.5,-9.4,5.0, , ,27,서북서,,1014.0
영천, ,20 이상, , ,12.4,-10.6,11.1, , ,19,서북서,,1015.0
완도, ,20 이상, , ,9.2,-2.4,6.6, , ,44,서북서,,1017.8
울릉도, ,20 이상, , ,11.1,1.0,9.1,0.0, ,50,서남서,,1011.4
울산, ,20 이상, , ,12.9,-12.3,12.9, , ,16,북북동,,1013.1
울진, ,20 이상, , ,9.3,-1.1,7.5, , ,48,동,,1012.8
원주, ,19.5, , ,8.1,-8.9,6.0, , ,29,남서,,1015.8
의령군, ,20 이상, , ,14.3,-22.9,13.7, , ,6,서남서,,1014.0
의성, ,20 이상, , ,11.1,-9.2,9.5, , ,23,서,,1014.0
이천, ,19.9, , ,10.2,-4.6,8.5, , ,35,서,,1016.7
인제, ,15.8, , ,8.2,-9.7,5.1, , ,27,남,,1013.8
인천, ,20 이상, , ,6.2,-2.4,3.3, , ,54,남남서,,1017.2
임실, ,20 이상, , ,8.5,-6.8,7.6, , ,33,북북서,,1016.4
장수, ,20 이상, , ,6.6,-7.4,3.7, , ,36,북,,1016.4
장흥, ,20 이상, , ,9.1,-4.8,6.2, , ,37,북,,1016.9
전주, ,20 이상, , ,8.1,-5.7,6.2, , ,37,서북서,,1018.0
정선군, ,15.6, , ,9.3,-14.5,6.6, , ,17,북동,,1013.6
정읍, ,20 이상, , ,7.3,-9.6,5.2, , ,29,북서,,1018.3
제주, ,20 이상, , ,8.3,-0.7,5.2, , ,53,서북서,,1020.2
제천, ,20 이상, , ,7.8,-8.3,5.4, , ,31,서남서,,1014.8
진도군, ,20 이상, , ,6.8,-4.6,3.5, , ,44,북서,,1018.4
진주, ,20 이상, , ,11.0,-6.8,10.3, , ,28,남,,1014.8
창원, ,20 이상, , ,11.7,-11.8,11.2, , ,18,남동,,1014.0
천안, ,20 이상, , ,9.5,-7.2,7.8, , ,30,서,,1016.6
철원, ,20 이상, , ,8.1,-7.6,6.0, , ,32,남서,,1015.3
청송군, ,20 이상, , ,10.6,-12.1,8.8, , ,19,북서,,1013.3
청주, ,20 이상, , ,9.5,-10.6,8.4, , ,23,서북서,,1016.3
추풍령, ,20 이상, , ,7.9,-9.5,4.3, , ,28,서남서,,1015.6
충주, ,19.9, , ,8.9,-9.1,6.5, , ,27,서,,1015.6
태백, ,20 이상, , ,6.7,-13.0,5.3, , ,23,서북서,,1012.0
통영, ,19.5, , ,8.6,-4.9,6.5, , ,38,남서,,1015.5
파주, ,20 이상, , ,8.6,-2.6,6.1, , ,45,서남서,,1017.0
포항, ,20 이상, , ,13.1,-9.4,11.9, , ,20,남남서,,1013.7
함양군, ,20 이상, , ,10.6,-17.7,8.1, , ,12,남남서,,1015.3
합천, ,20 이상, , ,13.5,-13.5,13.0, , ,14,서남서,,1013.7
해남, ,20 이상, , ,7.3,-3.8,4.3, , ,45,서북서,,1018.7
홍성, ,20 이상, , ,8.5,-5.3,6.6, , ,37,서,,1017.9
홍천, ,18.2, , ,9.2,-9.8,7.7, , ,25,서,,1015.4
흑산도, ,20 이상, , ,7.7,-4.4,5.8, , ,42,북서,,1019.4
